time,title,description,tags
00:00:01,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:00:03,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:00:09,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:00:10,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:00:12,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:00:13,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:00:14,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:00:15,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:00:15,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:00:17,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:00:21,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Victoria
00:00:22,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:00:24,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:00:25,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:00:26,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Gesto desconocido
00:00:27,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:00:28,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Gesto desconocido
00:00:29,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:00:30,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:00:32,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:00:45,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:00:46,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Gesto desconocido
00:00:49,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:00:51,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:00:53,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:00:55,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:00:58,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:01:01,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:01:04,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Victoria
00:01:05,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:01:07,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:01:08,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:01:10,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:01:12,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:01:12,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
