time,title,description,tags
00:00:03,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar Abajo
00:00:09,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar Abajo
00:00:10,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Palma abierta
00:00:12,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Palma abierta
00:00:21,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Victoria
00:00:24,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar Abajo
00:00:27,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Palma abierta
00:00:45,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar arriba
00:00:49,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Palma abierta
00:00:53,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar arriba
00:00:55,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar Abajo
00:01:01,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar arriba
00:01:04,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Victoria
00:01:07,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Palma abierta
00:01:15,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar Abajo
00:01:19,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Palma abierta
00:01:30,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar arriba
00:01:32,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Palma abierta
00:01:35,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Palma abierta
00:01:40,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar arriba
00:01:51,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar arriba
00:02:01,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Palma abierta
00:02:04,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar arriba
00:02:10,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Victoria
00:02:22,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua2,Gestos,Pulgar Abajo
