time,title,description,object,confidence
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.97
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.62
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.56
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.97
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.53
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.92
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.95
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.93
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.93
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.87
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.84
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.90
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.89
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.56
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.89
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.88
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.98
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.87
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.96
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.81
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.90
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.82
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.92
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.85
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,1.00
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.99
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,truck,0.90
00:00:00,Laincreblemaniobradeuncochequeevitachocarenunaauto,Objetos,car,0.90
